x,y1,y2,y3
1.616834,10.641971,-47.234919,9.517071
1.622645,10.674771,-47.422938,9.556615
1.628457,10.707211,-47.609128,9.596064
1.634269,10.739286,-47.793470,9.635414
1.640080,10.770994,-47.975946,9.674665
1.645892,10.802330,-48.156537,9.713813
1.651703,10.833293,-48.335223,9.752856
1.657515,10.863879,-48.511986,9.791793
1.663327,10.894085,-48.686807,9.830622
1.669138,10.923907,-48.859669,9.869341
1.674950,10.953342,-49.030552,9.907946
1.680762,10.982388,-49.199437,9.946437
1.686573,11.011040,-49.366308,9.984811
1.692385,11.039297,-49.531144,10.023066
1.698196,11.067155,-49.693929,10.061199
1.704008,11.094610,-49.854644,10.099210
1.709820,11.121660,-50.013270,10.137095
1.715631,11.148301,-50.169791,10.174852
1.721443,11.174532,-50.324187,10.212480
1.727255,11.200347,-50.476442,10.249976
1.733066,11.225745,-50.626537,10.287337
1.738878,11.250723,-50.774454,10.324563
1.744689,11.275277,-50.920177,10.361650
1.750501,11.299404,-51.063688,10.398596
1.756313,11.323102,-51.204969,10.435400
1.762124,11.346367,-51.344003,10.472059
1.767936,11.369197,-51.480772,10.508570
1.773747,11.391589,-51.615260,10.544932
1.779559,11.413539,-51.747450,10.581143
1.785371,11.435045,-51.877324,10.617200
1.791182,11.456104,-52.004866,10.653100
1.796994,11.476713,-52.130058,10.688843
1.802806,11.496868,-52.252885,10.724425
1.808617,11.516569,-52.373329,10.759845
1.814429,11.535810,-52.491374,10.795099
1.820240,11.554591,-52.607004,10.830186
1.826052,11.572907,-52.720202,10.865105
1.831864,11.590757,-52.830952,10.899851
1.837675,11.608136,-52.939239,10.934424
1.843487,11.625044,-53.045045,10.968820
1.849299,11.641476,-53.148355,11.003039
1.855110,11.657430,-53.249153,11.037076
1.860922,11.672904,-53.347424,11.070931
1.866733,11.687894,-53.443152,11.104601
1.872545,11.702399,-53.536321,11.138084
1.878357,11.716415,-53.626916,11.171377
1.884168,11.729940,-53.714922,11.204478
1.889980,11.742972,-53.800324,11.237385
1.895792,11.755507,-53.883105,11.270096
1.901603,11.767543,-53.963253,11.302609
1.907415,11.779078,-54.040751,11.334921
1.913226,11.790109,-54.115584,11.367029
1.919038,11.800634,-54.187739,11.398933
1.924850,11.810649,-54.257201,11.430629
1.930661,11.820154,-54.323955,11.462115
1.936473,11.829144,-54.387987,11.493389
1.942285,11.837619,-54.449283,11.524449
1.948096,11.845575,-54.507829,11.555292
1.953908,11.853010,-54.563610,11.585916
1.959719,11.859921,-54.616614,11.616320
1.965531,11.866307,-54.666826,11.646500
1.971343,11.872165,-54.714233,11.676455
1.977154,11.877493,-54.758821,11.706182
1.982966,11.882288,-54.800577,11.735679
1.988778,11.886548,-54.839488,11.764944
1.994589,11.890272,-54.875541,11.793975
2.000401,11.893456,-54.908722,11.822769
2.006212,11.896099,-54.939019,11.851324
2.012024,11.898198,-54.966420,11.879638
2.017836,11.899752,-54.990911,11.907708
